carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4609.997634832824
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,492.33973881091515
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1894.4432849478126
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6539.953050666982
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,15679.401465246821
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13571.032931048001
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5978.157413632139
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3363.4607059192185
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3555.377302317358
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3686.0232476135043
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5103.1301446568905
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,556.2488771873504
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1976.4620396973532
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,702.4674805907016
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1624.0648733928501
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1828.8864232036522
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,50.50212422799086
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,17931.64082585192
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4724.649465315761
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,206.22870530001637
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,5856.682414241136
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,479.2748215495194
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,5446.617857913524
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4726.267971263387
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7493.294284304347
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,827.8072339178616
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2266.100795380873
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2689.3902328186123
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,752.6116480763849
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2774.07669226269
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,6059.41767991214
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,554.7611176683622
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3883.713814172799
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4289.0535990861645
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1948.7136992269334
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6118.311336596963
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,921.5338928384481
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6128.839295592458
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,503.8876791332259
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-175.95676412853936
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,370.8647394199106
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,413.717959805359
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,-158.7656000737079
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,286.4689902531991
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7575.911563674697
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6808.245178082141
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9108.690272527836
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1677.9138309659647
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,337.3424287883354
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,5100.171729684982
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1789.2994321335536
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,6681.885443428164
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,8293.724492058933
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,15.070597371421172
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3080.7758655724047
